"LSOA11CD","index_of_multiple_deprivation_imd_decile","wkt"
"E01000001",9,"MULTIPOLYGON (((532105.1 182011.2, 532162.5 181867.8, 532248.3 181895.3, 532282.6 181906.5, 532308.6 181915.5, 532303.5 181814.1, 532251.1 181720, 532267.7 181643.8, 532213.1 181477.2, 532282.2 181460.5, 532248.2 181332, 532227.7 181278.9, 532173.1 181263.5, 532074.4 181338.3, 532080.2 181456.7, 531948.3 181472, 531951.9 181548, 531985.9 181583.5, 532052.5 181600.4, 532064.4 181561.6, 532095.6 181577.4, 532077.7 181797.7, 532069.8 181825.9, 532021.2 181803.9, 532022.4 181893.5, 532082.9 181911.8, 532105.1 182011.2)))"
"E01000002",10,"MULTIPOLYGON (((532746.8 181786.9, 532671.7 181574.1, 532614.3 181568.3, 532602.3 181523.7, 532567.3 181543.1, 532574.8 181574.1, 532523.6 181584.9, 532459.8 181381, 532352.7 181184.9, 532300.4 181199.6, 532305.6 181232, 532268.3 181238, 532279.7 181314.8, 532248.2 181332, 532282.2 181460.5, 532213.1 181477.2, 532267.7 181643.8, 532251.1 181720, 532303.5 181814.1, 532308.6 181915.5, 532341 181928, 532332 181956.6, 532419.6 181998.3, 532435.8 182003.3, 532445.8 181957.9, 532572.3 181938.9, 532634.5 181926, 532619.1 181847.2, 532746.8 181786.9)))"
"E01000003",5,"MULTIPOLYGON (((532135.1 182198.1, 532158.2 182151.1, 532252.9 182179.3, 532293.1 182068.4, 532310.1 182003.6, 532419.6 181998.3, 532332 181956.6, 532341 181928, 532308.6 181915.5, 532282.6 181906.5, 532248.3 181895.3, 532162.5 181867.8, 532105.1 182011.2, 532089.3 182077, 532071.3 182159.6, 532135.1 182198.1)))"
"E01000005",3,"MULTIPOLYGON (((533807.9 180767.8, 533649.1 180733.9, 533602.4 180815.2, 533575.1 181143.3, 533319.2 181386, 533378.9 181459.8, 533439.6 181591.2, 533499.1 181582.4, 533604.2 181418.1, 533611 181411, 533743.7 181261.3, 533782.6 181161.6, 533803.2 181053.4, 533837.9 180857.9, 533842.3 180789.3, 533807.9 180767.8)))"
"E01000006",5,"MULTIPOLYGON (((545122 184314.9, 545271.9 184183.9, 545296.3 184162.5, 545226 184151.6, 545190.9 184146.1, 545021.3 184123.6, 544805.9 184138.9, 544697.2 184170.5, 544706.7 184199.5, 544719.5 184222.9, 544691.5 184239.8, 544748.8 184314.7, 544778.2 184297.2, 544817.9 184346.2, 544696.3 184444.3, 544792.5 184546.6, 544765.4 184577.8, 544787.8 184604.9, 544935.1 184476.2, 545012.8 184409.2, 545122 184314.9)))"
"E01000007",3,"MULTIPOLYGON (((544180.3 184700.6, 544317.2 184543.1, 544348.7 184573.7, 544358 184584, 544366 184522.9, 544489 184490, 544559 184524, 544563 184522, 544553.2 184476.6, 544489.5 184388, 544440.4 184320, 544390 184257, 544256 184349, 544211 184317, 544174 184361, 544136.4 184336.5, 544189.5 184296.5, 544108.4 184236.2, 544039 184208.1, 544015.9 184329.7, 543982.4 184317.3, 543906.5 184256.4, 543867.2 184246.2, 543861 184283.5, 543788 184263.3, 543802.7 184382.2, 543856.4 184400.8, 543838.3 184467.1, 543829.9 184539.4, 543889 184593, 543914.6 184555.2, 544017.1 184632.4, 544175.3 184526.2, 544191 184548, 544134 184595, 544137.8 184674.2, 544180.3 184700.6)))"
"E01000008",2,"MULTIPOLYGON (((543741 184566, 543806.1 184564, 543867.2 184627.5, 543889 184593, 543829.9 184539.4, 543838.3 184467.1, 543856.4 184400.8, 543802.7 184382.2, 543788 184263.3, 543797.2 184201.4, 543836 184126, 543754.3 184071.7, 543684.8 184277.4, 543621.1 184248.1, 543636.3 184412.8, 543643 184476, 543594.7 184556.6, 543638.5 184613.7, 543685.4 184639.6, 543763.8 184578, 543741 184566)), ((543565.8 183951.9, 543527.9 183943.5, 543597.1 184077, 543538.8 184165.3, 543439.8 184353, 543419.4 184495.9, 543519.7 184848.3, 543522.4 184862.5, 543595.5 184832.8, 543548.1 184609.3, 543585.3 184526.2, 543545.7 184474.2, 543610.9 184407, 543595.5 184241, 543688.3 184210.3, 543732.7 184060.3, 543565.8 183951.9)))"
"E01000009",3,"MULTIPOLYGON (((544499.8 184704.4, 544630.3 184605.9, 544667.1 184681.3, 544785.2 184607.2, 544787.8 184604.9, 544765.4 184577.8, 544792.5 184546.6, 544696.3 184444.3, 544817.9 184346.2, 544778.2 184297.2, 544748.8 184314.7, 544691.5 184239.8, 544719.5 184222.9, 544706.7 184199.5, 544697.2 184170.5, 544456.6 184300.6, 544440.4 184320, 544489.5 184388, 544553.2 184476.6, 544563 184522, 544559 184524, 544489 184490, 544366 184522.9, 544358 184584, 544375.2 184606.8, 544409.6 184646.1, 544433.6 184628.2, 544499.8 184704.4)))"
"E01000010",3,"MULTIPOLYGON (((544174 184361, 544211 184317, 544256 184349, 544390 184257, 544440.4 184320, 544456.6 184300.6, 544553.5 184210.8, 544736.2 184075.7, 544670.8 184021, 544609.3 183973, 544533.6 183921, 544524.8 183914.4, 544460.7 183890.2, 544444.2 183892.9, 544325 183810.2, 544310.1 183800.7, 544273.2 183777, 544099.7 183676.5, 544018.8 183717.3, 544010.9 183735.5, 543903.1 184110.9, 543754.3 184071.7, 543836 184126, 543797.2 184201.4, 543788 184263.3, 543861 184283.5, 543867.2 184246.2, 543906.5 184256.4, 543982.4 184317.3, 544015.9 184329.7, 544039 184208.1, 544108.4 184236.2, 544189.5 184296.5, 544136.4 184336.5, 544174 184361)))"
"E01000011",3,"MULTIPOLYGON (((544523.4 184789, 544667.1 184681.3, 544630.3 184605.9, 544499.8 184704.4, 544433.6 184628.2, 544409.6 184646.1, 544375.2 184606.8, 544358 184584, 544348.7 184573.7, 544317.2 184543.1, 544180.3 184700.6, 544241.3 184756.3, 544240.1 184789.2, 544190.5 184845.2, 544288.2 184902.8, 544338.2 184928, 544523.4 184789)))"
